word,freq,article_count,rank
donald trump,20761,11694,1.0
one,20593,28763,2.0
said,18478,18720,3.0
u s,17491,1042,4.0
hillary clinton,16575,7836,5.0
even,14818,18731,6.0
say,14715,16534,7.0
united state,12360,6819,8.0
well,10270,10949,9.0
time,10219,18462,10.0
think,9759,10523,11.0
people,9696,18413,12.0
white house,9653,5104,13.0
way,8898,17125,14.0
fact,8887,10271,15.0
know,8832,15400,16.0
america,8133,17117,17.0
featured image,7935,8398,18.0
come,7928,15746,19.0
may,7918,11388,20.0
country,7850,9369,21.0
see,7619,17204,22.0
many,7424,11826,23.0
called,7251,7986,24.0
u,7219,43039,25.0
new york,7141,4408,26.0
right,7122,13943,27.0
make,7008,13386,28.0
mean,6937,9116,29.0
pic twitter,6931,5,30.0
work,6867,13654,31.0
case,6618,6455,32.0
need,6554,9827,33.0
image via,6531,6478,34.0
still,6492,7387,35.0
today,6143,6474,36.0
much,6097,8984,37.0
look,6077,9535,38.0
show,6022,11479,39.0
part,6017,18891,40.0
want,6008,11733,41.0
call,5867,17684,42.0
believe,5810,7649,43.0
russia,5674,7948,44.0
republican,5654,8833,45.0
used,5610,10901,46.0
going,5595,10667,47.0
point,5575,9992,48.0
according,5520,9083,49.5
group,5520,6980,49.5
made,5514,10280,51.0
government,5498,8699,52.0
democrat,5432,8549,53.0
claim,5382,8218,54.0
report,5306,12806,55.0
use,5280,22430,56.0
day,5218,22527,57.0
another,5203,8150,58.0
first,5186,11336,59.0
left,5169,6930,60.0
president obama,5166,3121,61.0
thing,5162,18480,62.0
yet,5144,5560,63.0
including,5121,6158,64.0
take,5108,13497,65.0
course,5061,5482,66.0
american,5048,13296,67.0
man,4980,26210,68.0
seem,4948,6423,69.0
issue,4819,6867,70.0
world,4807,9295,71.0
support,4766,11782,72.0
word,4755,5625,73.0
actually,4715,6071,74.0
saying,4705,5874,75.0
attack,4634,7109,76.0
put,4609,11412,77.0
two,4599,12311,78.0
nation,4569,16560,79.0
problem,4471,5129,80.0
continue,4447,7640,81.0
something,4435,6327,82.0
vote,4405,8264,83.0
end,4371,23688,84.0
go,4368,29443,85.0
instead,4279,4459,86.0
already,4259,5431,87.0
president trump,4218,2622,88.0
event,4188,7276,89.0
getty image,4175,4061,90.0
year old,4165,598,91.0
fox new,4164,2418,92.0
asked,4163,5459,93.0
power,4157,7032,94.0
really,4147,7012,95.0
give,4136,8763,96.0
back,4119,12472,97.0
job,4023,4751,98.0
got,3958,8578,99.0
told,3955,8778,100.0
home,3936,5961,101.0
idea,3892,4336,102.0
number,3882,5525,103.0
plan,3877,8821,104.5
women,3877,4530,104.5
nothing,3871,5464,106.0
campaign,3824,8975,107.0
t co,3812,17083,108.0
question,3806,6414,109.0
life,3802,6085,110.0
seen,3747,4512,111.0
result,3734,4895,112.0
someone,3722,4144,113.0
reason,3711,6267,114.0
found,3703,8079,115.0
https t,3693,0,116.0
read,3681,13490,117.0
given,3668,4443,118.0
kind,3654,4253,119.0
though,3648,9943,120.5
person,3648,8825,120.5
place,3628,8485,122.0
hand,3621,7840,123.0
appear,3617,6934,124.0
good,3597,7569,125.0
thought,3593,4230,126.0
rather,3575,3338,127.0
face,3560,8318,128.5
anyone,3560,4743,128.5
barack obama,3542,2696,130.0
likely,3537,4795,131.0
long,3527,11999,132.0
help,3520,7871,133.0
might,3458,5238,134.0
others,3438,4808,135.0
came,3399,7311,136.0
children,3391,3753,137.0
without,3385,5672,138.0
order,3383,8021,139.0
conservative,3361,3921,140.0
family,3349,4272,141.0
secretary state,3346,2235,142.0
tell,3316,9306,143.0
include,3299,4546,144.0
election,3295,9204,145.5
never,3295,8032,145.5
far,3285,7600,147.0
using,3277,7064,148.0
become,3228,5793,149.0
real,3219,14166,150.0
turn,3215,9299,151.0
president,3210,17983,152.0
name,3170,6422,153.0
must,3169,4665,154.0
matter,3161,5542,155.0
little,3152,4900,156.5
anything,3152,4761,156.5
watch,3143,8291,158.0
system,3131,4972,159.0
obama,3122,9124,160.0
action,3113,6985,161.0
great,3105,6957,162.0
alway,3098,3744,163.0
run,3083,7793,164.5
least,3083,4960,164.5
known,3066,4701,166.0
set,3058,7846,167.0
find,3031,5512,168.0
simply,3021,3272,169.0
change,3018,7348,170.5
history,3018,4711,170.5
either,3017,4165,172.0
added,3015,3398,173.0
area,3012,3282,174.0
making,2993,4942,175.0
everyone,2987,4014,176.0
law,2985,9880,177.0
went,2973,5427,178.0
head,2951,7637,179.0
state,2922,19165,180.0
woman,2918,4356,181.0
keep,2909,6299,182.0
trump supporter,2876,1627,183.0
bill clinton,2865,1500,184.0
often,2859,2981,185.0
stop,2850,6180,186.5
happen,2850,7187,186.5
public,2847,15478,188.0
individual,2840,2804,189.0
source,2839,6030,190.0
talk,2827,6731,192.0
especially,2827,3167,192.0
wrote,2827,3482,192.0
move,2822,7751,194.0
american people,2816,2041,195.0
despite,2813,3730,196.0
student,2811,2068,198.0
effort,2811,4299,198.0
clinton campaign,2811,1450,198.0
based,2809,3952,200.0
